car_model,price,year_model,kms,color,fueltype
Renault Duster Intens,$54.900.000,2020,131.000,Gris,Gasolina
Renault Duster 2.0 Dynamique 2017 At,$54.900.000,2017,45.800,Gris,Gasolina
Renault Duster Oroch 2.0 Expression,$60.900.000,2021,61.000,Plateado,Gasolina
Renault Duster 2.0 Dynamique 4x2,$35.900.000,2013,109.000,Marrón,Gasolina
Renault Duster Oroch Outsider 1.3 Turbo ,$98.000.000,2023,14.368,Gris,Gasolina
Renault Duster 1.6 Zen Mt,$81.390.000,2024,0,Gris,Gasolina
Renault Duster 1.6 Intens Mt,$72.900.000,2023,22.000,Gris,Gasolina
Renault Duster DYNAMIQUE DAKAR,$52.000.000,2018,107.000,Gris,Gasolina
Renault Duster 1.6 Expression Mecánica,$40.900.000,2014,132.000,Gris,Gasolina
Renault Duster Oroch 2.0 Intens At 4x2 Mod 2020 ,$79.900.000,2020,28.032,Gris,Gasolina
Renault Duster 1.6 Expression Mecánica,$51.800.000,2018,74.000,Plateado,Gasolina
Renault Duster 1.3 Iconic Aut,$91.900.000,2024,12.800,Gris,Gasolina
Renault Duster 1.3 Intense Cvt,$91.900.000,2022,17.000,Gris,Gasolina
Renault Duster 1.6 Expression,$54.900.000,2021,205.000,Blanco,Gasolina
Renault Duster 1.3 Intense Mt 4x4,$81.500.000,2023,27.426,Plateado,Gasolina
Renault Duster 1.3 Intense Cvt,$81.500.000,2022,39.000,Rojo,Gasolina
Renault Duster 1.6 Zen,$79.900.000,2022,29.000,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x2,$56.900.000,2020,64.100,Rojo,Gasolina
Renault Duster Dynamique At,$45.000.000,2015,91.017,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x2,$59.500.000,2018,40.100,Gris,Gasolina
Renault Duster Intens At 2.0 2016,$42.900.000,2016,127.000,Rojo,Gasolina
Renault Duster Iconic 4x4 ,$112.000.000,2025,0,Blanco,Gasolina
Renault Duster 1.6 Zen Mt,$81.000.000,2024,666,Color not found,Gasolina
Renault Duster 2.0 Dynamique 4x4,$42.500.000,2013,357.000,Blanco,Gasolina y gas
Renault Duster Intense 2021,$61.500.000,2021,54.000,Blanco,Gasolina
Renault Duster 1.6 Dynamique,$59.900.000,2021,52.700,Blanco,Gasolina
Renault Duster DYNAMIQUE DAKAR 2.0 AUT 5P,$55.700.000,2017,55.058,Dorado,Gasolina
Renault Duster 2.0 Dynamique 2013,$37.900.000,2013,117.700,Blanco,Gasolina
Renault Duster 1.3 Iconic Aut,$89.900.000,2024,9.990,Plateado,Gasolina
Renault Duster Oroch 2.0 Expression,$70.900.000,2020,72.972,Gris,Gasolina
Renault Duster 2.0 Dynamique,$65.000.000,2019,44.480,Plateado,Gasolina
Renault Duster Dynamique,$46.000.000,2015,65.000,Plateado,Gasolina
Renault Duster Zen,$76.000.000,2022,82.500,Blanco,Gasolina
Renault Duster 1.3 Intense Mt 4x4,$79.990.000,2022,39.000,Blanco,Gasolina
Renault Duster 1.3 Instens Outsider,$77.300.000,2022,39.100,Blanco,Gasolina
Renault Duster 1.6 Intense Mt,$66.900.000,2023,36.000,Rojo,Gasolina
Renault Duster Zen 4x2 1.6 2020,$55.000.000,2020,65.300,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x2,$61.000.000,2018,41.619,Gris,Gasolina
Renault Duster INTENS TURBO 1.3 AUT 5P,$77.100.000,2022,38.826,Gris,Gasolina
Renault Duster Oroch 4x2 At Mod 2023 ,$94.900.000,2023,47.890,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x2,$41.900.000,2014,61.000,Gris,Gasolina
Renault Duster 1.6 Zen Mt,$79.900.000,2024,7.500,Gris,Gasolina
Renault Duster 1.6 Zen Mt,$69.000.000,2023,35.000,Gris,Gasolina
Renault Duster Intens -  2.0 Mecanica 2019,$57.900.000,2019,57.000,Plateado,Gasolina
